,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Sales,,1155.0,1294.0,1393.0,1524.0,1794.0,2141.0,2428.0,3217.0,4101.0,4985.0,6289.0,7389.0
Expenses,,792.0,855.0,936.0,1034.0,1246.0,1506.0,1745.0,2415.0,3258.0,3946.0,5111.0,6044.0
Operating Profit,,363.0,439.0,457.0,490.0,548.0,635.0,683.0,802.0,844.0,1039.0,1178.0,1345.0
OPM %,,31.0,34.0,33.0,32.0,31.0,30.0,28.0,25.0,21.0,21.0,19.0,18.0
Other Income,,59.0,10.0,32.0,57.0,54.0,36.0,91.0,68.0,168.0,34.0,49.0,-86.0
Interest,,1.0,0.0,1.0,1.0,1.0,1.0,29.0,23.0,28.0,26.0,54.0,71.0
Depreciation,,39.0,41.0,42.0,49.0,49.0,61.0,113.0,120.0,125.0,135.0,137.0,147.0
Profit before tax,,382.0,408.0,446.0,497.0,552.0,609.0,631.0,726.0,859.0,913.0,1036.0,1040.0
Tax %,,17.0,18.0,21.0,17.0,18.0,17.0,15.0,19.0,20.0,20.0,24.0,25.0
Net Profit,,318.0,333.0,351.0,411.0,453.0,508.0,538.0,587.0,690.0,727.0,784.0,780.0
EPS in Rs,,10.58,11.04,11.64,13.85,15.23,17.01,17.92,19.56,22.97,24.21,12.9,12.76
Dividend Payout %,,89.0,78.0,47.0,29.0,56.0,50.0,20.0,41.0,96.0,73.0,68.0,90.0
Sales Growth %,Sales,13.2,12.04,7.69,9.41,17.71,19.34,13.4,32.49,27.5,21.54,26.15,17.49
Exceptional items,Other Income,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,4.0,3.0,9.0,1.0,-103.0
Other income normal,Other Income,59.0,10.0,32.0,57.0,54.0,37.0,91.0,64.0,165.0,25.0,48.0,16.0
