,parent_line_item,Mar 2026
Sales,,83855.0
Expenses,,73820.0
Operating Profit,,10035.0
OPM %,,12.0
Other Income,,-2553.0
Interest,,874.0
Depreciation,,1945.0
Profit before tax,,4663.0
Tax %,,35.0
Net Profit,,3030.0
EPS in Rs,,8.23
Dividend Payout %,,49.0
Material Cost %,Expenses,68.0
Employee Cost %,Expenses,7.0
Other Cost %,Expenses,13.0
Exceptional items AT,Net Profit,-2499.0
Profit excl Excep,Net Profit,5529.0
Profit for PE,Net Profit,5529.0
Profit for EPS,Net Profit,3030.0
