,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,230.0,271.0,285.0,320.0,473.0,532.0,534.0,520.0,601.0
Expenses,,134.0,208.0,128.0,164.0,270.0,312.0,330.0,338.0,380.0
Operating Profit,,95.0,63.0,156.0,156.0,203.0,220.0,204.0,182.0,220.0
OPM %,,42.0,23.0,55.0,49.0,43.0,41.0,38.0,35.0,37.0
Other Income,,34.0,65.0,73.0,50.0,117.0,295.0,416.0,664.0,586.0
Interest,,29.0,6.0,67.0,69.0,145.0,460.0,252.0,347.0,624.0
Depreciation,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,6.0
Profit before tax,,98.0,120.0,161.0,135.0,173.0,53.0,367.0,496.0,176.0
Tax %,,28.0,8.0,18.0,27.0,19.0,-27.0,22.0,21.0,5.0
Net Profit,,71.0,111.0,132.0,99.0,141.0,67.0,287.0,391.0,168.0
EPS in Rs,,11.68,18.27,21.66,16.31,23.15,0.36,1.37,1.86,0.8
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,39.0,42.0,112.0
Sales Growth %,Sales,,17.99,5.07,12.54,47.7,12.38,0.53,-2.7,15.55
Exceptional items,Other Income,1.0,6.0,7.0,1.0,1.0,-2.0,3.0,67.0,-3.0
Other income normal,Other Income,33.0,60.0,66.0,49.0,116.0,297.0,413.0,597.0,589.0
