,parent_line_item,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,501.0,774.0,162.0,388.0,1067.0,1396.0,1688.0,1648.0
Expenses,,398.0,646.0,198.0,363.0,693.0,980.0,1134.0,999.0
Operating Profit,,103.0,128.0,-36.0,24.0,374.0,417.0,554.0,649.0
OPM %,,21.0,16.0,-22.0,6.0,35.0,30.0,33.0,39.0
Other Income,,5.0,15.0,20.0,20.0,84.0,133.0,122.0,161.0
Interest,,10.0,2.0,5.0,5.0,48.0,52.0,46.0,64.0
Depreciation,,22.0,21.0,22.0,17.0,83.0,111.0,126.0,150.0
Profit before tax,,76.0,119.0,-43.0,22.0,327.0,387.0,504.0,595.0
Tax %,,33.0,29.0,25.0,68.0,23.0,23.0,25.0,24.0
Net Profit,,51.0,104.0,-60.0,13.0,251.0,298.0,380.0,452.0
EPS in Rs,,103.51,268.84,-147.64,32.04,629.55,743.09,27.58,33.49
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,50.0,31.0,31.0
Sales Growth %,Sales,,,-79.06,139.11,175.39,30.85,20.87,-2.37
Material Cost %,Expenses,27.92,24.31,21.25,20.97,19.72,20.39,17.56,15.28
Manufacturing Cost %,Expenses,3.15,5.35,9.66,6.91,25.41,27.36,27.76,0.0
Employee Cost %,Expenses,14.49,16.41,44.62,22.94,14.93,16.46,16.4,15.55
Other Cost %,Expenses,33.89,37.44,46.67,42.93,4.9,5.93,5.45,29.82
Exceptional items,Other Income,0.0,5.0,10.0,5.0,7.0,21.0,1.0,0.0
Other income normal,Other Income,5.0,10.0,11.0,15.0,77.0,112.0,121.0,161.0
Profit from Associates,Net Profit,0.0,24.0,-6.0,6.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-14.0,0.0,3.0,-0.0,-7.0,-10.0,-17.0,-11.0
Exceptional items AT,Net Profit,0.0,3.0,10.0,1.0,6.0,16.0,1.0,0.0
Profit excl Excep,Net Profit,51.0,101.0,-70.0,11.0,246.0,282.0,379.0,452.0
Profit for PE,Net Profit,37.0,101.0,-66.0,11.0,238.0,272.0,362.0,441.0
Profit for EPS,Net Profit,37.0,104.0,-57.0,12.0,244.0,288.0,363.0,441.0
Profit Growth %,Net Profit,,,-166.0,117.0,2027.0,14.0,33.0,22.0
