,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,0.0,4479.0,5000.0,5773.0,4750.0,6083.0,12447.0,14964.0,16890.0,19465.0,22847.0
Expenses,,0.0,4073.0,4626.0,5240.0,4169.0,5443.0,10997.0,13081.0,14921.0,17595.0,20590.0
Operating Profit,,0.0,406.0,374.0,533.0,582.0,641.0,1450.0,1883.0,1969.0,1870.0,2258.0
OPM %,,9.0,7.0,9.0,12.0,11.0,12.0,13.0,12.0,10.0,10.0,
Other Income,,0.0,41.0,55.0,62.0,40.0,26.0,147.0,319.0,787.0,359.0,321.0
Interest,,0.0,77.0,62.0,56.0,34.0,52.0,99.0,58.0,73.0,83.0,62.0
Depreciation,,0.0,149.0,154.0,162.0,185.0,251.0,347.0,396.0,454.0,492.0,664.0
Profit before tax,,0.0,221.0,214.0,378.0,403.0,365.0,1152.0,1748.0,2230.0,1653.0,1852.0
Tax %,,21.0,27.0,34.0,22.0,22.0,14.0,24.0,22.0,36.0,40.0,
Net Profit,,0.0,174.0,156.0,251.0,313.0,286.0,991.0,1325.0,1733.0,1054.0,1118.0
EPS in Rs,,7.86,12.81,16.31,14.28,39.85,49.48,62.35,34.82,32.9,,
Dividend Payout %,,0.0,17.0,20.0,21.0,25.0,9.0,7.0,6.0,10.0,11.0,
Sales Growth %,Sales,,,11.62,15.46,-17.71,28.06,104.62,20.22,12.87,15.24,17.38
Material Cost %,Expenses,,59.0,60.0,61.0,57.0,60.0,67.0,66.0,65.0,66.0,66.0
Manufacturing Cost %,Expenses,,13.0,12.0,11.0,11.0,10.0,8.0,7.0,7.0,7.0,0.0
Employee Cost %,Expenses,,11.0,11.0,11.0,13.0,12.0,8.0,8.0,9.0,9.0,10.0
Other Cost %,Expenses,,8.0,9.0,8.0,7.0,8.0,6.0,6.0,7.0,9.0,15.0
Exceptional items,Other Income,0.0,17.0,-1.0,5.0,-17.0,-40.0,43.0,183.0,540.0,-13.0,-66.0
Other income normal,Other Income,0.0,24.0,56.0,57.0,57.0,66.0,104.0,136.0,247.0,371.0,387.0
Minority share,Net Profit,0.0,-7.0,-8.0,-10.0,-7.0,-11.0,-222.0,-369.0,-527.0,-381.0,-481.0
Exceptional items AT,Net Profit,0.0,12.0,-1.0,4.0,-12.0,-28.0,16.0,12.0,4.0,-8.0,-38.0
Profit excl Excep,Net Profit,0.0,162.0,156.0,247.0,325.0,314.0,975.0,1313.0,1729.0,1063.0,1156.0
Profit for PE,Net Profit,0.0,156.0,148.0,237.0,318.0,302.0,756.0,947.0,1203.0,679.0,659.0
Profit for EPS,Net Profit,0.0,168.0,147.0,240.0,306.0,275.0,769.0,956.0,1206.0,674.0,637.0
Profit Growth %,Net Profit,,,-5.0,60.0,34.0,-5.0,150.0,25.0,27.0,-44.0,-3.0
