,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,0.0,641.0,2156.0,2036.0,2432.0,3365.0,4872.0,5842.0
Expenses,,0.0,550.0,1866.0,1729.0,1981.0,2732.0,3881.0,4613.0
Operating Profit,,-0.0,92.0,290.0,307.0,451.0,633.0,991.0,1230.0
OPM %,,14.0,13.0,15.0,19.0,19.0,20.0,21.0,19.0
Other Income,,0.0,1.0,19.0,21.0,32.0,43.0,60.0,170.0
Interest,,0.0,7.0,20.0,17.0,19.0,32.0,55.0,42.0
Depreciation,,0.0,19.0,108.0,133.0,120.0,146.0,196.0,225.0
Profit before tax,,-0.0,67.0,181.0,178.0,345.0,497.0,800.0,1133.0
Tax %,,0.0,18.0,18.0,17.0,20.0,22.0,25.0,26.0
Net Profit,,-0.0,55.0,148.0,147.0,276.0,387.0,599.0,840.0
EPS in Rs,,-27.0,1.98,5.38,5.33,10.0,13.9,21.69,30.63
Dividend Payout %,,0.0,37.0,18.0,28.0,31.0,29.0,31.0,28.0
Sales Growth %,Sales,,236.24,-5.59,19.48,38.34,44.77,19.93,10.49
Material Cost %,Expenses,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Manufacturing Cost %,Expenses,17.0,11.0,4.0,3.0,5.0,5.0,6.0,0.0
Employee Cost %,Expenses,56.0,66.0,66.0,66.0,64.0,64.0,63.0,62.0
Other Cost %,Expenses,11.0,9.0,15.0,12.0,11.0,9.0,9.0,18.0
Exceptional items,Other Income,-34.0,-10.0,7.0,-8.0,1.0,3.0,24.0,-60.0
Other income normal,Other Income,35.0,28.0,14.0,40.0,42.0,57.0,146.0,86.0
Minority share,Net Profit,-1.0,-0.0,-1.0,-2.0,-6.0,-4.0,0.0,-0.0
Exceptional items AT,Net Profit,-26.0,-6.0,5.0,-6.0,1.0,2.0,18.0,-39.0
Profit excl Excep,Net Profit,81.0,154.0,142.0,282.0,386.0,596.0,822.0,677.0
Profit for PE,Net Profit,79.0,154.0,141.0,280.0,380.0,592.0,822.0,677.0
Profit for EPS,Net Profit,54.0,148.0,146.0,274.0,381.0,595.0,840.0,637.0
Profit Growth %,Net Profit,29523.0,94.0,-8.0,98.0,36.0,56.0,39.0,-18.0
