,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Sales,,2502.0,3394.0,3861.0,4004.0,5105.0,7130.0,6450.0,8823.0,13173.0,16043.0,20008.0,21685.0
Expenses,,2116.0,2752.0,3052.0,3165.0,4069.0,5667.0,5235.0,7129.0,10310.0,12326.0,15189.0,16616.0
Operating Profit,,387.0,642.0,810.0,838.0,1036.0,1462.0,1215.0,1694.0,2863.0,3717.0,4818.0,5070.0
OPM %,,15.0,19.0,21.0,21.0,20.0,21.0,19.0,19.0,22.0,23.0,24.0,23.0
Other Income,,14.0,36.0,27.0,14.0,6.0,47.0,-30.0,51.0,-18.0,-5.0,45.0,352.0
Interest,,187.0,170.0,435.0,215.0,223.0,324.0,294.0,207.0,204.0,292.0,483.0,196.0
Depreciation,,210.0,317.0,322.0,347.0,385.0,489.0,529.0,531.0,617.0,681.0,947.0,1216.0
Profit before tax,,4.0,191.0,79.0,291.0,434.0,696.0,363.0,1007.0,2024.0,2739.0,3433.0,4010.0
Tax %,,658.0,41.0,39.0,26.0,31.0,32.0,1.0,26.0,23.0,23.0,23.0,24.0
Net Profit,,-20.0,113.0,48.0,214.0,300.0,472.0,357.0,746.0,1550.0,2102.0,2634.0,3062.0
EPS in Rs,,-0.09,0.5,0.14,0.68,0.95,1.44,1.01,2.14,4.61,6.33,7.67,8.98
Dividend Payout %,,0.0,0.0,0.0,22.0,16.0,15.0,22.0,16.0,15.0,16.0,13.0,17.0
Sales Growth %,Sales,18.31,35.64,13.76,3.69,27.52,39.65,-9.53,36.79,49.3,21.78,24.72,8.39
Material Cost %,Expenses,54.99,50.57,45.01,45.21,43.96,45.16,42.85,45.73,47.53,46.16,44.51,44.8
Manufacturing Cost %,Expenses,8.35,7.75,8.05,7.86,7.57,7.36,8.24,7.46,7.22,6.78,6.55,6.02
Employee Cost %,Expenses,8.66,9.54,10.92,11.57,11.42,11.38,13.8,11.51,9.38,9.02,9.43,10.15
Other Cost %,Expenses,12.53,13.21,15.06,14.42,16.76,15.59,16.28,16.1,14.14,14.87,15.44,15.65
Exceptional items,Other Income,-0.0,27.0,-11.0,3.0,-19.0,2.0,-67.0,-17.0,-57.0,-84.0,-74.0,84.0
Other income normal,Other Income,15.0,9.0,38.0,11.0,25.0,45.0,37.0,68.0,38.0,79.0,119.0,268.0
