,parent_line_item,Dec 2005,Dec 2006
Sales,,667.0,727.0
Expenses,,610.0,692.0
Operating Profit,,57.0,35.0
OPM %,,9.0,5.0
Other Income,,50.0,84.0
Interest,,8.0,9.0
Depreciation,,23.0,23.0
Profit before tax,,77.0,87.0
Tax %,,50.0,36.0
Net Profit,,38.0,55.0
EPS in Rs,,9.71,14.03
Dividend Payout %,,23.0,17.0
Sales Growth %,Sales,,8.94
Exceptional items,Other Income,-7.0,10.0
Other income normal,Other Income,57.0,74.0
Exceptional items AT,Net Profit,-5.0,6.0
Profit excl Excep,Net Profit,43.0,49.0
Profit for PE,Net Profit,43.0,49.0
Profit for EPS,Net Profit,38.0,55.0
Profit Growth %,Net Profit,,15.0
