,parent_line_item,Jun 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,252.0,239.0,402.0,540.0,649.0,863.0,1061.0,1269.0,1467.0,1694.0,1937.0
Expenses,,192.0,175.0,276.0,345.0,417.0,603.0,732.0,874.0,1025.0,1142.0,1287.0
Operating Profit,,60.0,64.0,125.0,195.0,232.0,260.0,329.0,395.0,442.0,552.0,651.0
OPM %,,24.0,27.0,31.0,36.0,36.0,30.0,31.0,31.0,30.0,33.0,34.0
Other Income,,3.0,4.0,10.0,13.0,19.0,41.0,23.0,38.0,55.0,66.0,92.0
Interest,,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
Depreciation,,8.0,7.0,13.0,19.0,23.0,32.0,37.0,47.0,45.0,53.0,66.0
Profit before tax,,53.0,60.0,121.0,188.0,227.0,269.0,314.0,386.0,451.0,564.0,677.0
Tax %,,23.0,24.0,21.0,23.0,22.0,20.0,20.0,20.0,16.0,18.0,20.0
Net Profit,,41.0,46.0,96.0,145.0,177.0,215.0,251.0,308.0,377.0,461.0,541.0
EPS in Rs,,5.43,6.05,12.65,19.15,23.35,28.42,32.03,39.56,49.57,60.19,70.56
Dividend Payout %,,18.0,20.0,12.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0
Sales Growth %,Sales,45.46,68.25,34.41,20.16,33.07,22.95,19.61,15.54,15.5,14.37,12.89
Exceptional items,Other Income,-0.0,-0.0,2.0,2.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0
Other income normal,Other Income,3.0,10.0,11.0,17.0,36.0,17.0,37.0,54.0,65.0,92.0,116.0
