,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,0.0,669.0,4860.0,4560.0,3987.0,3941.0,4138.0
Expenses,,0.0,572.0,4039.0,4064.0,3578.0,3466.0,3666.0
Operating Profit,,-0.0,97.0,821.0,496.0,409.0,475.0,472.0
OPM %,,14.0,17.0,11.0,10.0,12.0,11.0,
Other Income,,0.0,-10.0,21.0,30.0,29.0,81.0,87.0
Interest,,0.0,9.0,46.0,38.0,66.0,65.0,57.0
Depreciation,,0.0,21.0,120.0,120.0,133.0,147.0,161.0
Profit before tax,,-0.0,56.0,675.0,368.0,239.0,343.0,342.0
Tax %,,0.0,31.0,33.0,31.0,32.0,23.0,22.0
Net Profit,,-0.0,39.0,452.0,253.0,162.0,263.0,268.0
EPS in Rs,,-3.4,2.42,28.39,15.91,10.2,16.54,16.82
Dividend Payout %,,0.0,14.0,18.0,31.0,49.0,30.0,15.0
Sales Growth %,Sales,,,626.6,-6.19,-12.55,-1.15,5.01
Exceptional items,Other Income,0.0,-13.0,-8.0,-1.0,-6.0,-0.0,-12.0
Other income normal,Other Income,0.0,2.0,29.0,31.0,36.0,81.0,100.0
Exceptional items AT,Net Profit,0.0,-9.0,-6.0,-1.0,-4.0,-0.0,-10.0
Profit excl Excep,Net Profit,-0.0,48.0,458.0,254.0,167.0,264.0,278.0
Profit for PE,Net Profit,-0.0,48.0,458.0,254.0,167.0,264.0,278.0
Profit for EPS,Net Profit,-0.0,39.0,452.0,253.0,162.0,263.0,268.0
Profit Growth %,Net Profit,,28088.0,862.0,-44.0,-34.0,58.0,5.0
