,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,659.0,711.0,700.0,706.0,910.0,972.0,1137.0,1422.0,1516.0
Expenses,,383.0,450.0,413.0,409.0,486.0,551.0,632.0,770.0,833.0
Operating Profit,,276.0,261.0,287.0,296.0,424.0,421.0,505.0,652.0,683.0
OPM %,,42.0,37.0,41.0,42.0,47.0,43.0,44.0,46.0,45.0
Other Income,,-2.0,1.0,21.0,30.0,17.0,27.0,41.0,53.0,51.0
Interest,,8.0,10.0,10.0,8.0,7.0,8.0,8.0,8.0,7.0
Depreciation,,40.0,50.0,51.0,43.0,52.0,60.0,70.0,78.0,99.0
Profit before tax,,227.0,201.0,247.0,274.0,383.0,380.0,467.0,619.0,629.0
Tax %,,35.0,35.0,30.0,25.0,25.0,25.0,25.0,25.0,25.0
Net Profit,,146.0,131.0,172.0,205.0,287.0,285.0,351.0,465.0,472.0
EPS in Rs,,5.99,5.35,7.05,8.41,11.74,11.64,14.39,19.03,19.2
Dividend Payout %,,66.0,84.0,35.0,150.0,66.0,65.0,65.0,76.0,39.0
Sales Growth %,Sales,,7.83,-1.6,0.84,28.94,6.83,16.95,25.16,6.59
Manufacturing Cost %,Expenses,17.03,17.84,15.65,13.95,12.4,12.83,13.7,14.0,0.0
Employee Cost %,Expenses,34.4,38.69,36.95,37.29,35.44,36.92,35.03,33.07,32.78
Other Cost %,Expenses,6.67,6.77,6.44,6.81,5.54,6.9,6.84,7.07,22.17
Exceptional items,Other Income,0.0,0.0,15.0,44.0,16.0,15.0,18.0,32.0,0.0
Other income normal,Other Income,-2.0,1.0,6.0,-14.0,1.0,12.0,22.0,21.0,51.0
Minority share,Net Profit,-0.0,-0.0,-0.0,0.0,0.0,1.0,3.0,6.0,4.0
Exceptional items AT,Net Profit,0.0,0.0,11.0,32.0,12.0,11.0,14.0,24.0,0.0
Profit excl Excep,Net Profit,146.0,131.0,161.0,173.0,275.0,273.0,337.0,441.0,472.0
Profit for PE,Net Profit,146.0,130.0,161.0,173.0,275.0,274.0,340.0,447.0,476.0
Profit for EPS,Net Profit,146.0,130.0,172.0,205.0,287.0,285.0,354.0,470.0,476.0
Profit Growth %,Net Profit,,-11.0,23.0,8.0,59.0,-0.0,24.0,31.0,7.0
