,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,512.0,616.0,713.0,853.0,1017.0,1200.0,1055.0
Expenses,,308.0,289.0,443.0,509.0,585.0,694.0,687.0
Operating Profit,,205.0,327.0,270.0,344.0,432.0,506.0,367.0
OPM %,,40.0,53.0,38.0,40.0,42.0,42.0,35.0
Other Income,,32.0,14.0,23.0,37.0,37.0,44.0,52.0
Interest,,1.0,1.0,6.0,5.0,3.0,1.0,0.0
Depreciation,,21.0,28.0,50.0,54.0,54.0,54.0,74.0
Profit before tax,,214.0,313.0,238.0,322.0,413.0,495.0,345.0
Tax %,,21.0,25.0,26.0,25.0,25.0,25.0,25.0
Net Profit,,169.0,235.0,175.0,240.0,308.0,372.0,259.0
EPS in Rs,,177.81,247.44,183.93,22.95,29.45,35.52,24.94
Dividend Payout %,,22.0,0.0,3.0,30.0,30.0,25.0,30.0
Sales Growth %,Sales,,20.31,15.66,19.67,19.2,18.01,-12.1
Exceptional items,Other Income,23.0,7.0,5.0,4.0,14.0,22.0,-3.0
Other income normal,Other Income,8.0,7.0,18.0,34.0,23.0,22.0,55.0
