,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,780.0,1384.0,1778.0,2223.0,3156.0,4162.0,4631.0
Expenses,,281.0,939.0,1132.0,1340.0,1591.0,1942.0,2189.0
Operating Profit,,499.0,444.0,646.0,883.0,1565.0,2220.0,2441.0
OPM %,,64.0,32.0,36.0,40.0,50.0,53.0,53.0
Other Income,,76.0,-565.0,638.0,8.0,3.0,14.0,33.0
Interest,,200.0,246.0,278.0,396.0,620.0,822.0,977.0
Depreciation,,15.0,50.0,71.0,89.0,136.0,94.0,113.0
Profit before tax,,360.0,-417.0,935.0,406.0,812.0,1318.0,1385.0
Tax %,,21.0,14.0,8.0,25.0,23.0,25.0,25.0
Net Profit,,286.0,-475.0,857.0,305.0,625.0,985.0,1040.0
EPS in Rs,,35.43,54.82,57.19,,,,
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,53.0,24.0
Sales Growth %,Sales,,77.35,28.49,25.04,41.96,31.87,11.25
Material Cost %,Expenses,7.23,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing Cost %,Expenses,0.93,2.48,3.96,0.31,8.77,7.29,0.0
Employee Cost %,Expenses,14.05,36.26,33.79,32.82,28.27,28.05,27.25
Other Cost %,Expenses,13.84,29.14,25.92,27.16,13.37,11.32,20.03
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Exceptional items AT,Net Profit,5.0,-578.0,579.0,0.0,-0.0,1.0,0.0
Profit excl Excep,Net Profit,281.0,103.0,278.0,305.0,625.0,985.0,1040.0
Profit for PE,Net Profit,281.0,103.0,278.0,305.0,626.0,986.0,1041.0
Profit for EPS,Net Profit,286.0,-475.0,857.0,305.0,625.0,986.0,1041.0
Profit Growth %,Net Profit,,-63.0,169.0,10.0,105.0,58.0,6.0
