,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,368.0,361.0,738.0,752.0,735.0,1280.0,2272.0,2985.0,4248.0,5175.0,5057.0
Expenses,,303.0,383.0,502.0,559.0,555.0,830.0,1359.0,1700.0,2550.0,3157.0,3144.0
Operating Profit,,65.0,-23.0,237.0,193.0,180.0,450.0,913.0,1285.0,1699.0,2019.0,1913.0
OPM %,,18.0,-6.0,32.0,26.0,24.0,35.0,40.0,43.0,40.0,39.0,38.0
Other Income,,13.0,111.0,13.0,11.0,7.0,8.0,2.0,16.0,6.0,8.0,14.0
Interest,,29.0,50.0,89.0,67.0,50.0,43.0,74.0,91.0,137.0,293.0,437.0
Depreciation,,10.0,10.0,12.0,18.0,20.0,17.0,18.0,29.0,49.0,100.0,117.0
Profit before tax,,40.0,28.0,149.0,119.0,117.0,398.0,823.0,1181.0,1519.0,1634.0,1373.0
Tax %,,36.0,26.0,32.0,35.0,26.0,27.0,25.0,25.0,25.0,26.0,26.0
Net Profit,,25.0,21.0,102.0,77.0,87.0,290.0,615.0,882.0,1133.0,1216.0,1023.0
EPS in Rs,,1.77,1.44,1.41,1.07,1.2,3.55,7.42,10.57,13.49,13.47,11.23
Dividend Payout %,,32.0,47.0,96.0,25.0,22.0,36.0,37.0,38.0,26.0,36.0,220.0
Sales Growth %,Sales,,-1.91,104.7,1.85,-2.22,74.14,77.42,31.41,42.31,21.81,-2.28
Manufacturing Cost %,Expenses,5.03,6.04,3.52,36.41,35.25,31.44,27.46,25.78,24.24,23.63,23.28
Employee Cost %,Expenses,26.17,30.35,15.59,20.16,20.56,12.86,12.14,13.15,12.68,14.94,18.53
Other Cost %,Expenses,51.21,69.86,48.83,17.75,19.69,20.54,20.22,18.02,23.09,22.42,20.36
Exceptional items AT,Net Profit,-0.0,0.0,-0.0,0.0,-0.0,-1.0,0.0,8.0,0.0,-0.0,-0.0
Profit excl Excep,Net Profit,26.0,21.0,102.0,77.0,87.0,291.0,615.0,874.0,1133.0,1216.0,1023.0
Profit for PE,Net Profit,26.0,21.0,102.0,77.0,87.0,291.0,615.0,874.0,1133.0,1216.0,1023.0
Profit for EPS,Net Profit,25.0,21.0,102.0,77.0,87.0,290.0,615.0,882.0,1133.0,1216.0,1023.0
Profit Growth %,Net Profit,,-19.0,394.0,-25.0,14.0,234.0,111.0,42.0,30.0,7.0,-16.0
