,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1705.0,1578.0,1521.0,1654.0,2072.0,2057.0,2921.0,3684.0,4362.0
Expenses,,652.0,589.0,698.0,715.0,915.0,766.0,1216.0,1292.0,1655.0
Operating Profit,,1053.0,990.0,823.0,939.0,1157.0,1291.0,1705.0,2391.0,2707.0
OPM %,,62.0,63.0,54.0,57.0,56.0,63.0,58.0,65.0,62.0
Other Income,,10.0,1.0,6.0,2.0,6.0,5.0,4.0,-87.0,116.0
Interest,,559.0,431.0,502.0,414.0,370.0,399.0,643.0,887.0,1090.0
Depreciation,,14.0,22.0,41.0,43.0,42.0,46.0,57.0,71.0,155.0
Profit before tax,,490.0,538.0,286.0,485.0,751.0,850.0,1009.0,1347.0,1577.0
Tax %,,22.0,30.0,30.0,24.0,23.0,23.0,20.0,25.0,23.0
Net Profit,,380.0,375.0,201.0,369.0,578.0,658.0,804.0,1015.0,1216.0
EPS in Rs,,5.77,10.5,16.28,18.48,22.41,25.83,29.94,,
Dividend Payout %,,19.0,23.0,87.0,167.0,84.0,373.0,74.0,23.0,0.0
Sales Growth %,Sales,,-7.43,-3.66,8.78,25.24,-0.73,42.02,26.12,18.4
Material Cost %,Expenses,0.0,0.05,2.76,3.25,0.0,0.0,5.14,0.0,0.0
Manufacturing Cost %,Expenses,4.58,6.19,11.0,8.78,10.76,5.97,6.2,4.42,0.0
Employee Cost %,Expenses,22.92,21.08,24.62,24.83,28.62,24.75,23.62,24.12,25.97
Other Cost %,Expenses,10.76,9.98,7.49,6.37,4.78,6.52,6.68,6.54,11.98
Exceptional items,Other Income,0.0,-0.0,-1.0,-2.0,-0.0,0.0,0.0,-88.0,0.0
Other income normal,Other Income,10.0,1.0,7.0,5.0,6.0,5.0,4.0,0.0,116.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,0.0,-0.0,-1.0,-2.0,-0.0,0.0,0.0,-66.0,0.0
Profit excl Excep,Net Profit,380.0,375.0,202.0,371.0,578.0,658.0,804.0,1081.0,1216.0
Profit for PE,Net Profit,380.0,375.0,202.0,371.0,578.0,658.0,804.0,1081.0,1216.0
Profit for EPS,Net Profit,380.0,375.0,201.0,369.0,578.0,658.0,804.0,1015.0,1216.0
Profit Growth %,Net Profit,,-1.0,-46.0,84.0,56.0,14.0,22.0,34.0,12.0
