,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,8578.0,9098.0,12204.0,16240.0,15968.0,17173.0,22728.0,30325.0,36502.0,40549.0
Interest,,6515.0,7126.0,8743.0,10228.0,8585.0,7465.0,10091.0,13870.0,17208.0,19333.0
Expenses,,1432.0,1789.0,4702.0,9760.0,8733.0,12323.0,13338.0,17899.0,23571.0,27282.0
Financing Profit,,631.0,184.0,-1241.0,-3748.0,-1350.0,-2615.0,-701.0,-1444.0,-4277.0,-6067.0
Financing Margin %,,7.0,2.0,-10.0,-23.0,-8.0,-15.0,-3.0,-5.0,-12.0,-15.0
Other Income,,1019.0,1120.0,824.0,1722.0,2211.0,3173.0,4467.0,5932.0,6977.0,7874.0
Depreciation,,136.0,168.0,2820.0,320.0,343.0,382.0,435.0,631.0,836.0,0.0
Profit before tax,,1514.0,1135.0,-3237.0,-2346.0,519.0,175.0,3331.0,3857.0,1864.0,1807.0
Tax %,,30.0,16.0,-41.0,21.0,7.0,24.0,25.0,24.0,20.0,11.0
Net Profit,,1019.0,880.0,-1908.0,-2843.0,483.0,132.0,2485.0,2942.0,1490.0,1611.0
EPS in Rs,,3.0,2.58,-3.99,-5.91,0.85,0.21,3.75,4.16,2.04,1.87
Dividend Payout %,,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0
Manufacturing Cost %,Expenses,0.36,0.36,0.81,1.19,0.81,0.76,0.67,0.73,0.65,0.0
Employee Cost %,Expenses,7.18,8.66,10.49,11.07,14.43,18.07,18.84,18.59,17.83,18.95
Other Cost %,Expenses,9.15,10.64,27.22,47.85,39.45,52.94,39.17,39.7,46.1,48.33
Exceptional items,Other Income,-5.0,-1.0,-1.0,0.0,16.0,-5.0,1.0,9.0,11.0,0.0
Other income normal,Other Income,1024.0,1121.0,825.0,1722.0,2196.0,3178.0,4467.0,5923.0,6966.0,7874.0
