,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,45.0,1855.0,2043.0,3513.0
Expenses,,6.0,296.0,495.0,1208.0
Operating Profit,,39.0,1559.0,1549.0,2305.0
OPM %,,88.0,84.0,76.0,66.0
Other Income,,10.0,429.0,428.0,381.0
Interest,,0.0,10.0,8.0,745.0
Depreciation,,0.0,22.0,23.0,29.0
Profit before tax,,49.0,1956.0,1947.0,1912.0
Tax %,,37.0,18.0,17.0,18.0
Net Profit,,31.0,1605.0,1613.0,1561.0
EPS in Rs,,2.53,2.54,2.46,
Dividend Payout %,,0.0,0.0,20.0,24.0
Sales Growth %,Sales,,4036.0,10.0,72.0
Employee Cost %,Expenses,0.0,6.41,10.83,11.02
Other Cost %,Expenses,12.4,9.52,13.38,23.37
Exceptional items AT,Net Profit,6.0,0.0,0.0,23.0
Profit excl Excep,Net Profit,25.0,1605.0,1613.0,1538.0
Profit for PE,Net Profit,25.0,1605.0,1613.0,1538.0
Profit for EPS,Net Profit,31.0,1605.0,1613.0,1561.0
Profit Growth %,Net Profit,,6282.0,0.0,-5.0
