,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,238.0,279.0,329.0,367.0,451.0,450.0,525.0,627.0,765.0
Expenses,,160.0,187.0,196.0,204.0,251.0,271.0,313.0,374.0,443.0
Operating Profit,,78.0,92.0,133.0,163.0,200.0,179.0,212.0,253.0,322.0
OPM %,,33.0,33.0,40.0,44.0,44.0,40.0,40.0,40.0,42.0
Other Income,,5.0,9.0,12.0,11.0,13.0,15.0,19.0,18.0,25.0
Interest,,4.0,4.0,15.0,15.0,16.0,21.0,24.0,25.0,31.0
Depreciation,,23.0,26.0,48.0,50.0,52.0,61.0,55.0,65.0,80.0
Profit before tax,,56.0,70.0,82.0,110.0,144.0,111.0,152.0,181.0,236.0
Tax %,,36.0,31.0,25.0,24.0,25.0,25.0,25.0,26.0,25.0
Net Profit,,35.0,49.0,61.0,83.0,108.0,83.0,115.0,135.0,178.0
EPS in Rs,,78.17,108.02,135.13,18.28,10.6,8.15,11.2,13.15,17.33
Dividend Payout %,,0.0,0.0,0.0,0.0,9.0,12.0,9.0,15.0,12.0
Sales Growth %,Sales,,17.32,17.76,11.77,22.75,-0.29,16.78,19.45,22.05
Exceptional items,Other Income,0.08,1.15,4.75,0.31,0.88,0.95,15.56,6.42,0.0
Other income normal,Other Income,5.11,7.49,6.91,10.52,12.04,13.62,3.83,11.56,25.16
