,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,7645.0,3898.0,3944.0,3423.0,2617.0,4131.0,3832.0,1101.0,1219.0,407.0
Expenses,,6721.0,3092.0,2992.0,2855.0,2393.0,3687.0,3265.0,879.0,1203.0,780.0
Operating Profit,,924.0,805.0,951.0,568.0,224.0,444.0,567.0,221.0,16.0,-372.0
OPM %,,12.0,21.0,24.0,17.0,9.0,11.0,15.0,20.0,1.0,-91.0
Other Income,,62.0,138.0,5673.0,14.0,43.0,51.0,101.0,-21.0,-94.0,250.0
Interest,,551.0,212.0,102.0,87.0,71.0,52.0,34.0,30.0,46.0,64.0
Depreciation,,313.0,199.0,193.0,229.0,231.0,231.0,196.0,59.0,64.0,68.0
Profit before tax,,122.0,532.0,6330.0,267.0,-35.0,212.0,437.0,112.0,-188.0,-254.0
Tax %,,14.0,30.0,4.0,-35.0,-4.0,24.0,40.0,46.0,-16.0,-55.0
Net Profit,,105.0,372.0,6063.0,360.0,-34.0,162.0,265.0,60.0,-157.0,-115.0
EPS in Rs,,9.4,33.27,542.81,32.7,-2.73,14.91,24.34,4.52,-14.44,-9.24
Dividend Payout %,,59.0,20.0,1.0,9.0,-37.0,27.0,21.0,111.0,-14.0,-27.0
Sales Growth %,Sales,,-49.0,1.0,-13.0,-24.0,58.0,-7.0,-71.0,11.0,-67.0
Material Cost %,Expenses,26.0,34.0,37.0,39.0,43.0,48.0,43.0,-0.0,0.0,42.0
Manufacturing Cost %,Expenses,32.0,29.0,26.0,28.0,29.0,27.0,29.0,50.0,64.0,0.0
Employee Cost %,Expenses,8.0,11.0,7.0,9.0,11.0,8.0,7.0,14.0,15.0,56.0
Other Cost %,Expenses,22.0,6.0,6.0,7.0,9.0,7.0,6.0,16.0,20.0,94.0
Exceptional items,Other Income,-12.0,12.0,9.0,-21.0,-18.0,9.0,76.0,-69.0,-130.0,198.0
Other income normal,Other Income,74.0,126.0,5664.0,35.0,61.0,41.0,24.0,48.0,35.0,52.0
Minority share,Net Profit,0.0,0.0,0.0,5.0,3.0,5.0,7.0,-10.0,-4.0,12.0
Exceptional items AT,Net Profit,-11.0,6.0,9.0,-3.0,0.0,1.0,81.0,0.0,-65.0,197.0
Profit excl Excep,Net Profit,116.0,365.0,6055.0,363.0,-34.0,161.0,183.0,60.0,-92.0,-311.0
Profit for PE,Net Profit,116.0,365.0,6055.0,368.0,-31.0,166.0,190.0,50.0,-96.0,-280.0
Profit for EPS,Net Profit,105.0,372.0,6063.0,365.0,-30.0,167.0,272.0,51.0,-161.0,-103.0
Profit Growth %,Net Profit,,215.0,1558.0,-94.0,-108.0,643.0,15.0,-74.0,-290.0,-192.0
