,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2633.0,3463.0,4401.0,3625.0,5665.0,5616.0,6431.0
Expenses,,1678.0,2161.0,2890.0,2600.0,4332.0,4348.0,4801.0
Operating Profit,,955.0,1302.0,1510.0,1025.0,1333.0,1269.0,1630.0
OPM %,,36.0,38.0,34.0,28.0,24.0,23.0,25.0
Other Income,,139.0,135.0,224.0,184.0,170.0,214.0,292.0
Interest,,7.0,3.0,5.0,7.0,26.0,42.0,33.0
Depreciation,,95.0,99.0,110.0,147.0,345.0,378.0,424.0
Profit before tax,,993.0,1335.0,1619.0,1055.0,1133.0,1063.0,1465.0
Tax %,,22.0,25.0,25.0,26.0,32.0,34.0,30.0
Net Profit,,773.0,997.0,1212.0,781.0,772.0,699.0,1027.0
EPS in Rs,,49.88,60.94,73.75,47.42,46.9,42.4,62.35
Dividend Payout %,,0.0,0.0,0.0,0.0,43.0,42.0,32.0
Sales Growth %,Sales,,31.51,27.08,-17.64,56.29,-0.85,14.5
Material Cost %,Expenses,41.85,43.08,47.93,46.5,38.36,37.22,34.88
Manufacturing Cost %,Expenses,6.86,5.93,5.28,7.69,9.27,9.13,3.15
Employee Cost %,Expenses,10.54,8.99,7.69,11.13,22.19,24.95,25.33
Other Cost %,Expenses,4.46,4.39,4.78,6.41,6.65,6.1,11.3
Exceptional items AT,Net Profit,13.0,0.0,3.0,-40.0,0.0,1.0,-17.0
Profit excl Excep,Net Profit,760.0,997.0,1208.0,821.0,772.0,698.0,1044.0
Profit for PE,Net Profit,760.0,997.0,1208.0,821.0,772.0,698.0,1044.0
Profit for EPS,Net Profit,773.0,997.0,1212.0,781.0,772.0,699.0,1027.0
Profit Growth %,Net Profit,,31.0,21.0,-32.0,-6.0,-10.0,50.0
