,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1816.0,832.0,1787.0,1822.0,1677.0,1717.0,2071.0,3078.0
Expenses,,1310.0,1074.0,1375.0,1310.0,1185.0,1170.0,1333.0,1616.0
Operating Profit,,506.0,-242.0,411.0,512.0,492.0,547.0,738.0,1462.0
OPM %,,28.0,-29.0,23.0,28.0,29.0,32.0,36.0,48.0
Other Income,,37.0,57.0,35.0,50.0,96.0,55.0,77.0,-24.0
Interest,,60.0,62.0,64.0,30.0,17.0,17.0,8.0,5.0
Depreciation,,253.0,291.0,295.0,150.0,175.0,175.0,176.0,200.0
Profit before tax,,230.0,-538.0,87.0,382.0,396.0,411.0,632.0,1233.0
Tax %,,37.0,6.0,-26.0,2.0,25.0,28.0,26.0,25.0
Net Profit,,145.0,-569.0,110.0,374.0,295.0,295.0,465.0,919.0
EPS in Rs,,1.57,-6.16,1.19,3.87,3.06,3.05,4.81,9.5
Dividend Payout %,,33.0,0.0,29.0,30.0,30.0,30.0,30.0,30.0
Sales Growth %,Sales,,-54.2,114.79,1.97,-7.94,2.37,20.62,48.62
Material Cost %,Expenses,11.47,-5.39,19.18,10.73,0.44,-3.79,1.09,0.3
Manufacturing Cost %,Expenses,33.32,63.79,22.03,25.09,37.29,39.84,31.88,4.82
Employee Cost %,Expenses,17.43,31.23,15.52,20.42,18.17,15.5,15.12,11.68
Other Cost %,Expenses,9.92,39.46,20.24,15.67,14.77,16.57,16.25,35.7
Exceptional items,Other Income,0.0,-0.0,-0.0,1.0,2.0,0.0,7.0,-96.0
Other income normal,Other Income,36.0,57.0,35.0,49.0,94.0,55.0,70.0,72.0
Profit from Associates,Net Profit,0.0,-0.0,0.0,-0.0,0.0,-0.0,-2.0,-2.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,0.0,-0.0,0.0,1.0,1.0,0.0,5.0,-69.0
Profit excl Excep,Net Profit,145.0,-569.0,110.0,373.0,294.0,295.0,460.0,988.0
Profit for PE,Net Profit,145.0,-569.0,110.0,373.0,294.0,295.0,460.0,988.0
Profit for EPS,Net Profit,145.0,-569.0,110.0,374.0,295.0,295.0,465.0,919.0
Profit Growth %,Net Profit,,-493.0,119.0,238.0,-21.0,0.0,56.0,115.0
