,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,149.0,135.0,149.0,152.0,198.0,254.0,316.0,384.0,401.0
Expenses,,102.0,114.0,118.0,101.0,112.0,138.0,169.0,218.0,248.0
Operating Profit,,48.0,21.0,30.0,51.0,86.0,116.0,147.0,166.0,153.0
OPM %,,32.0,16.0,20.0,34.0,44.0,46.0,46.0,43.0,38.0
Other Income,,11.0,28.0,15.0,40.0,39.0,35.0,40.0,52.0,57.0
Interest,,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0
Depreciation,,6.0,5.0,9.0,9.0,8.0,6.0,9.0,10.0,17.0
Profit before tax,,53.0,44.0,34.0,79.0,115.0,143.0,177.0,206.0,191.0
Tax %,,33.0,20.0,25.0,24.0,26.0,24.0,22.0,27.0,28.0
Net Profit,,35.0,35.0,25.0,60.0,86.0,109.0,137.0,150.0,138.0
EPS in Rs,,92.39,92.13,66.11,157.01,16.07,20.27,25.42,27.57,25.19
Dividend Payout %,,0.0,0.0,0.0,0.0,12.0,25.0,14.0,13.0,0.0
Sales Growth %,Sales,,-9.68,10.19,2.52,30.04,28.1,24.33,21.63,4.39
Material Cost %,Expenses,13.57,14.71,9.8,10.75,9.34,14.56,12.78,8.61,9.71
Manufacturing Cost %,Expenses,3.96,3.1,2.97,2.01,1.83,1.57,1.28,1.16,0.0
Employee Cost %,Expenses,30.27,36.66,42.76,34.47,28.4,21.06,17.39,16.32,11.53
Other Cost %,Expenses,20.35,29.85,23.98,19.14,16.88,17.23,22.07,30.78,40.67
Exceptional items AT,Net Profit,4.0,14.0,4.0,16.0,21.0,7.0,4.0,7.0,0.0
Profit excl Excep,Net Profit,32.0,21.0,21.0,44.0,65.0,101.0,133.0,143.0,138.0
Profit for PE,Net Profit,32.0,21.0,21.0,44.0,65.0,101.0,133.0,143.0,138.0
Profit for EPS,Net Profit,35.0,35.0,25.0,60.0,86.0,109.0,137.0,150.0,138.0
Profit Growth %,Net Profit,,-32.0,-1.0,109.0,45.0,57.0,31.0,8.0,-4.0
