,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2404.0,2188.0,2410.0,2690.0,3175.0,3290.0,3043.0,2948.0,3448.0,4058.0,4190.0
Expenses,,2192.0,1967.0,2121.0,2319.0,2668.0,2650.0,2451.0,2512.0,2926.0,3463.0,3599.0
Operating Profit,,212.0,221.0,289.0,371.0,506.0,640.0,592.0,436.0,521.0,595.0,590.0
OPM %,,9.0,10.0,12.0,14.0,16.0,19.0,19.0,15.0,15.0,15.0,14.0
Other Income,,-18.0,24.0,37.0,29.0,71.0,97.0,84.0,82.0,128.0,143.0,182.0
Interest,,0.0,3.0,3.0,4.0,6.0,10.0,9.0,9.0,6.0,9.0,12.0
Depreciation,,17.0,15.0,16.0,15.0,16.0,41.0,49.0,52.0,52.0,54.0,54.0
Profit before tax,,177.0,226.0,307.0,381.0,555.0,687.0,618.0,458.0,591.0,675.0,706.0
Tax %,,36.0,38.0,45.0,34.0,35.0,28.0,26.0,26.0,26.0,26.0,26.0
Net Profit,,114.0,141.0,169.0,250.0,359.0,491.0,460.0,339.0,438.0,501.0,524.0
EPS in Rs,,129.16,159.69,191.65,282.45,405.86,555.88,520.32,383.57,495.39,567.1,592.21
Dividend Payout %,,10.0,6.0,5.0,11.0,11.0,13.0,16.0,23.0,19.0,18.0,18.0
Sales Growth %,Sales,-8.99,10.17,11.61,18.02,3.63,-7.51,-3.1,16.93,17.71,3.24,11.75
Exceptional items,Other Income,0.0,-1.0,-4.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-12.0
Other income normal,Other Income,24.0,38.0,33.0,71.0,98.0,84.0,82.0,128.0,143.0,182.0,179.0
