,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,1240.0,1372.0,1550.0,1693.0,1994.0,2587.0,3107.0,3672.0
Interest,,731.0,793.0,816.0,761.0,799.0,987.0,1174.0,1364.0
Expenses,,254.0,333.0,290.0,351.0,458.0,619.0,736.0,868.0
Financing Profit,,255.0,245.0,444.0,580.0,737.0,980.0,1198.0,1439.0
Financing Margin %,,21.0,18.0,29.0,34.0,37.0,38.0,39.0,39.0
Other Income,,-14.0,-2.0,-0.0,-0.0,-25.0,-0.0,1.0,-2.0
Depreciation,,5.0,12.0,11.0,13.0,16.0,21.0,25.0,32.0
Profit before tax,,235.0,231.0,432.0,567.0,696.0,959.0,1174.0,1406.0
Tax %,,31.0,18.0,21.0,22.0,22.0,22.0,22.0,22.0
Net Profit,,162.0,189.0,340.0,445.0,545.0,749.0,912.0,1095.0
EPS in Rs,,64.51,47.99,8.61,11.26,13.8,18.96,21.14,25.14
Dividend Payout %,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing Cost %,Expenses,0.56,0.96,1.14,0.98,1.45,1.43,1.42,0.0
Employee Cost %,Expenses,12.39,11.14,10.71,12.76,14.07,13.42,13.16,13.61
Other Cost %,Expenses,7.57,12.21,6.86,7.0,7.45,9.09,9.09,10.04
Exceptional items AT,Net Profit,-10.0,-2.0,-0.0,-0.0,-19.0,-0.0,-0.0,-12.0
Profit excl Excep,Net Profit,172.0,192.0,340.0,445.0,564.0,749.0,912.0,1108.0
Profit for PE,Net Profit,172.0,192.0,340.0,445.0,564.0,749.0,912.0,1108.0
Profit for EPS,Net Profit,162.0,189.0,340.0,445.0,545.0,749.0,912.0,1095.0
Profit Growth %,Net Profit,,12.0,78.0,31.0,27.0,33.0,22.0,21.0
