,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,3713.0,4561.0,6302.0,8779.0,8676.0,8445.0,9677.0,12394.0,14041.0,14337.0
Interest,,2492.0,2741.0,3761.0,4885.0,4539.0,4148.0,4679.0,6350.0,7576.0,7975.0
Expenses,,1234.0,1827.0,2559.0,4919.0,5129.0,6674.0,6071.0,7520.0,9312.0,9383.0
Financing Profit,,-12.0,-6.0,-17.0,-1025.0,-993.0,-2378.0,-1073.0,-1477.0,-2847.0,-3021.0
Financing Margin %,,-0.0,-0.0,-0.0,-12.0,-11.0,-28.0,-11.0,-12.0,-20.0,-21.0
Other Income,,755.0,1069.0,1441.0,1918.0,1875.0,2352.0,2507.0,3060.0,3778.0,4127.0
Depreciation,,62.0,89.0,126.0,146.0,170.0,180.0,213.0,235.0,236.0,0.0
Profit before tax,,681.0,974.0,1298.0,747.0,712.0,-206.0,1221.0,1349.0,696.0,1106.0
Tax %,,35.0,34.0,34.0,33.0,26.0,-20.0,25.0,7.0,-3.0,21.0
Net Profit,,447.0,633.0,861.0,500.0,529.0,-166.0,920.0,1260.0,717.0,879.0
EPS in Rs,,11.91,15.05,20.1,9.83,8.85,-2.77,15.34,20.82,11.8,14.22
Dividend Payout %,,15.0,14.0,13.0,15.0,0.0,0.0,10.0,7.0,8.0,7.0
Manufacturing Cost %,Expenses,0.1,0.14,0.59,0.41,1.91,2.56,2.37,1.54,1.17,0.0
Employee Cost %,Expenses,12.04,12.77,11.96,11.04,12.97,15.82,17.13,15.01,15.57,16.96
Other Cost %,Expenses,21.09,27.14,28.05,44.58,44.24,60.66,43.24,44.14,49.58,48.49
Exceptional items,Other Income,1.0,0.0,0.0,0.0,-2.0,-0.0,-0.0,0.0,1.0,0.0
Other income normal,Other Income,755.0,1069.0,1441.0,1918.0,1876.0,2352.0,2507.0,3059.0,3777.0,4127.0
