symbol,status,days,note
GESHIP,ok,129,
GHCL,ok,127,
GICRE,ok,128,
GILLETTE,ok,128,
GLAND,ok,128,
GLAXO,ok,127,
GLENMARK,ok,129,
GMDCLTD,ok,129,
GMMPFAUDLR,ok,127,
GMRAIRPORT,ok,128,
GNFC,ok,129,
GODFRYPHLP,ok,128,
GODIGIT,ok,128,
GODREJAGRO,ok,128,
GODREJCP,ok,129,
GODREJIND,ok,127,
GODREJPROP,ok,129,
GOKEX,ok,127,
GOKULAGRO,ok,127,
GPIL,ok,128,
GPPL,ok,127,
GRANULES,ok,128,
GRAPHITE,ok,128,
GRASIM,ok,127,
GRAVITA,ok,128,
GREAVESCOT,ok,128,
GROWW,ok,129,
GRSE,ok,128,
GRWRHITECH,ok,127,
GSFC,ok,129,
HAL,ok,127,
HAPPSTMNDS,ok,129,
HAVELLS,ok,128,
HBLENGINE,ok,129,
HCC,ok,129,
HCG,ok,127,
HCLTECH,ok,129,
HDBFS,ok,129,
HDFCAMC,ok,128,
HDFCBANK,ok,129,
HDFCLIFE,ok,129,
HEG,ok,129,
HEMIPROP,ok,127,
HERITGFOOD,ok,127,
HEROMOTOCO,ok,129,
HEXT,ok,129,
HFCL,ok,129,
HGINFRA,ok,127,
HINDALCO,ok,127,
HINDCOPPER,ok,129,
HINDPETRO,ok,129,
HINDUNILVR,ok,128,
HINDZINC,ok,129,
HOMEFIRST,ok,126,
HONASA,ok,129,
HONAUT,ok,126,
HSCL,ok,129,
HUDCO,ok,129,
HYUNDAI,ok,128,
ICICIAMC,ok,129,
ICICIBANK,ok,129,
ICICIGI,ok,128,
ICICIPRULI,ok,128,
ICIL,ok,127,
IDBI,ok,129,
IDEA,ok,129,
IDFCFIRSTB,ok,129,
IEX,ok,129,
IFBIND,ok,127,
IFCI,ok,129,
IGIL,ok,128,
IGL,ok,127,
IIFL,ok,129,
IIFLCAPS,ok,127,
IKS,ok,129,
IMFA,ok,127,
INDGN,ok,128,
INDHOTEL,ok,129,
INDIACEM,ok,127,
INDIAGLYCO,ok,128,
INDIAMART,ok,127,
INDIANB,ok,128,
INDIASHLTR,ok,127,
INDIGO,ok,127,
INDIGOPNTS,ok,127,
INDUSINDBK,ok,129,
INDUSTOWER,ok,128,
INFY,ok,129,
INOXGREEN,ok,128,
INOXINDIA,ok,129,
INOXWIND,ok,129,
INTELLECT,ok,128,
IOB,ok,129,
IOC,ok,129,
IONEXCHANG,ok,129,
IPCALAB,ok,128,
IRB,ok,129,
IRCON,ok,129,
IRCTC,ok,128,
IREDA,ok,129,
IRFC,ok,128,
ITC,ok,129,
ITCHOTELS,ok,128,
ITI,ok,127,
IXIGO,ok,129,
JAIBALAJI,ok,127,
JAINREC,ok,129,
JAMNAAUTO,ok,128,
JAYNECOIND,ok,128,
JBCHEPHARM,failed,0,only 5 usable daily bars
JBMA,ok,129,
JINDALSAW,ok,128,
JINDALSTEL,ok,127,
JIOFIN,ok,128,
JKCEMENT,ok,127,
JKLAKSHMI,ok,127,
JKPAPER,ok,127,
JKTYRE,ok,127,
JLHL,ok,127,
JMFINANCIL,ok,128,
JPPOWER,ok,128,
JSFB,ok,128,
JSL,ok,127,
JSLL,ok,128,
JSWCEMENT,ok,129,
JSWDULUX,ok,127,
JSWENERGY,ok,129,
JSWINFRA,ok,129,
JSWSTEEL,ok,128,
JUBLFOOD,ok,128,
JUBLINGREA,ok,128,
JUBLPHARMA,ok,128,
JUSTDIAL,ok,127,
JWL,ok,128,
JYOTHYLAB,ok,128,
JYOTICNC,ok,128,
KAJARIACER,ok,128,
KALYANKJIL,ok,128,
KANSAINER,ok,126,
KARURVYSYA,ok,128,
KAYNES,ok,128,
KEC,ok,129,
KEI,ok,129,
KFINTECH,ok,129,
KIMS,ok,127,
KIRLOSBROS,ok,127,
KIRLOSENG,ok,127,
KIRLPNU,ok,127,
KITEX,ok,127,
KNRCON,ok,128,
KOTAKBANK,ok,129,
KPIGREEN,ok,127,
KPIL,ok,127,
KPITTECH,ok,129,
KPRMILL,ok,127,
KRBL,ok,126,
KRN,ok,128,
KSB,ok,127,
KSCL,ok,126,
KTKBANK,ok,128,
LALPATHLAB,ok,127,
LATENTVIEW,ok,127,
LAURUSLABS,ok,128,
LEMONTREE,ok,128,
LENSKART,ok,129,
LGEINDIA,ok,128,
LICHSGFIN,ok,128,
LICI,ok,129,
LINDEINDIA,ok,127,
LLOYDSENGG,ok,128,
LLOYDSENT,ok,128,
LLOYDSME,ok,129,
LODHA,ok,128,
LOTUSDEV,ok,129,
LT,ok,129,
LTF,ok,129,
LTFOODS,ok,128,
LTM,ok,128,
LTTS,ok,127,
LUMAXTECH,ok,128,
LUPIN,ok,128,
LXCHEM,ok,127,
MAHABANK,ok,128,
MAHSCOOTER,ok,126,
MAHSEAMLES,ok,127,
MANAPPURAM,ok,129,
MANKIND,ok,127,
MANORAMA,ok,127,
MANYAVAR,ok,127,
MAPMYINDIA,ok,126,
MARICO,ok,127,
MARKSANS,ok,128,
MARUTI,ok,128,
MASTEK,ok,128,
MAXHEALTH,ok,127,
MAZDOCK,ok,128,
MCX,ok,129,
MEDANTA,ok,126,
MEDPLUS,ok,126,
MEESHO,ok,129,
METROPOLIS,ok,127,
MFSL,ok,127,
MGL,ok,126,
MIDHANI,ok,127,
MINDACORP,ok,127,
MMTC,ok,128,
MOIL,ok,127,
MOTHERSON,ok,129,
MOTILALOFS,ok,128,
MPHASIS,ok,128,
MRF,ok,128,
MRPL,ok,129,
MSTCLTD,ok,128,
MSUMI,ok,127,
MTARTECH,ok,128,
MUTHOOTFIN,ok,129,
